station|station_name|unit|type|truck_type|rescue type|is_reserved|image|year|make|model|ladder_type|ladder_length|max_pump_rate|wate_tank_capacity|foam_cell_capacity
404|Herndon|E404|Engine|||FALSE|engine|2019|E-One|Cyclone X Pumper|||650|1500|TRUE
418|Jefferson|E418|Engine|||FALSE|engine|2019|E-One|Cyclone X Pumper|||650|1500|TRUE
429|Tysons Corner|E429|Engine|||FALSE|engine|2019|E-One|Cyclone X Pumper|||650|1500|TRUE
423|West Annandale|E423|Engine|||FALSE|engine|2019|E-One|Cyclone X Pumper|||690|1500|FALSE
422|Springfield|E422|Engine|||FALSE|engine|2008|Pierce|Dash Pumper|||750|1500|FALSE
417|Centreville|E417B|Engine|||TRUE|engine|2008|Pierce|Dash Pumper|||750|1500|TRUE
405|Franconia|E405|Engine|||FALSE|engine|2004|Pierce|Dash Pumper|||750|1500|TRUE
405|Franconia|E405B|Engine|||TRUE|engine|2001|Dash|Dash Pumper|||750|1500|TRUE
402|Vienna|E402B|Engine|||TRUE|engine|2002|American LaFrance|Eagle Pumper|||500|1250|FALSE
419|Lorton|E419|Engine|||FALSE|engine|2020|Pierce|Impel Pumper|||750|1500|TRUE
414|Burke|E414B|Engine|||TRUE|engine|2001|Pierce|Quantum Pumper|||750|1500|FALSE
422|Springfield|E422B|Engine|||TRUE|engine|2002|Pierce|Quantum Pumper|||750|1500|FALSE
402|Vienna|E402|Engine|||FALSE|engine|2012|Pierce|Velocity Pumper|||750|1500|FALSE
428|Seven Corners|E428|Engine|||FALSE|engine|2015|Pierce|Velocity Pumper|||750|1500|TRUE
442|Wolftrap|E442|Engine|||FALSE|engine|2015|Pierce|Velocity Pumper|||750|1500|TRUE
424|Woodlawn|E424|Engine|||FALSE|engine|2015|Pierce|Velocity Pumper|||750|1500|TRUE
415|Chantilly|E415|Engine|||FALSE|engine|2017|Pierce|Velocity Pumper|||750|1500|TRUE
401|McLean|E401|Engine|||FALSE|engine|2013|Pierce|Velocity Pumper|||750|1500|TRUE
410|Baileys Crossroads|E410|Engine|||FALSE|engine|2017|Pierce|Velocity Pumper|||750|1500|TRUE
414|Burke|E414|Engine|||FALSE|engine|2016|Pierce|Velocity Pumper|||750|1500|TRUE
426|Edsall|E426|Engine|||FALSE|engine|2017|Pierce|Velocity Pumper|||750|1500|TRUE
421|Fair Oaks|E421|Engine|||FALSE|engine|2012|Pierce|Velocity Pumper|||750|1500|TRUE
421|Fair Oaks|E421B|Engine|||TRUE|engine|2011|Pierce|Velocity Pumper|||750|1500|TRUE
432|Fairview|E432|Engine|||FALSE|engine|2017|Pierce|Velocity Pumper|||750|1500|TRUE
431|Fox Mill|E431|Engine|||FALSE|engine|2014|Pierce|Velocity Pumper|||750|1500|TRUE
436|Frying Pan|E436|Engine|||FALSE|engine|2017|Pierce|Velocity Pumper|||750|1500|TRUE
437|Kingstowne|E437|Engine|||FALSE|engine|2018|Pierce|Velocity Pumper|||750|1500|TRUE
439|North Point|E439|Engine|||FALSE|engine|2017|Pierce|Velocity Pumper|||750|1500|TRUE
434|Oakton|E434|Engine|||FALSE|engine|2014|Pierce|Velocity Pumper|||750|1500|TRUE
425|Reston|E425|Engine|||FALSE|engine|2013|Pierce|Velocity Pumper|||750|1500|TRUE
438|West Centerville|E438|Engine|||FALSE|engine|2017|Pierce|Velocity Pumper|||750|1500|TRUE
427|West Springfield|E427|Engine|||FALSE|engine|2019|Pierce|Velocity Pumper|||750|1500|TRUE
430|Merrifield|E430|Engine|||FALSE|engine|2019|Pierce|Velocity Pumper|||750|1500|TRUE
411|Penn Daw|E411|Engine|||FALSE|engine|2019|Pierce|Velocity Pumper|||750|1500|TRUE
435|Pohick|E435|Engine|||FALSE|engine|2019|Pierce|Velocity Pumper|||750|1500|TRUE
413|Dunn Loring|E413B|Engine|||TRUE|engine|2009|Pierce|Velocity Pumper|||750|1500|TRUE
420|Gunston|FB420|Fire Boat|||FALSE|boat|2020|Metal Shark|55 Defiant|||||FALSE
434|Oakton|LAB401|Fire Marshals Lab Unit|||FALSE|lab|2001|Mattman|Freightliner|||||FALSE
426|Edsall|F426|Foam Unit|||FALSE|foam|2011|Pierce|Quantum PUC|||1500|2000|TRUE
437|Kingstowne|F437|Foam Unit|||FALSE|foam|2013|Pierce|Quantum PUC|||1500|2000|TRUE
440|Fairfax Center|HM440|Hazmat|||FALSE|hazmat|2019|Pierce|Velocity 2-door 30' combination|||||FALSE
440|Fairfax Center|HMS440|Hazmat Support|||FALSE|hazmat_support|2019|Pierce|Velocity split-tilt command cab|||||FALSE
434|Oakton|ICS434|Incident Command Support|||FALSE|ics|2018|Frontline|F-550|||||FALSE
414|Burke|BTI414|Inflatable Boat|||FALSE|inf_boat|2005|Achilles|Red Hypalon|||||FALSE
416|Clifton|BTI416|Inflatable Boat|||FALSE|inf_boat|2009|Achilles|Red Hypalon|||||FALSE
441|Crosspointe|BTI441|Inflatable Boat|||FALSE|inf_boat|2009|Achilles|Red Hypalon|||||FALSE
421|Fair Oaks|BTI421|Inflatable Boat|||FALSE|inf_boat|2003|Achilles|Red Hypalon|||||FALSE
412|Great Falls|BTI412|Inflatable Boat|||FALSE|inf_boat|2011|Achilles|Red Hypalon|||||FALSE
412|Great Falls|BTI412B|Inflatable Boat|||FALSE|inf_boat|2015|Achilles|Red Hypalon|||||FALSE
418|Jefferson|BTI418|Inflatable Boat|||FALSE|inf_boat|2010|Achilles|Red Hypalon|||||FALSE
439|North Point|BTI439|Inflatable Boat|||FALSE|inf_boat|2011|Achilles|Red Hypalon|||||FALSE
439|North Point|BTI439B|Inflatable Boat|||FALSE|inf_boat|2012|Achilles|Red Hypalon|||||FALSE
436|Frying Pan|LA436|Light and Air Unit|||FALSE|light_air|2016|Pierce|Freightliner|||||FALSE
437|Kingstowne|LA437|Light and Air Unit|||FALSE|light_air|2016|Pierce|Freightliner M2|||||FALSE
423|West Annandale|LA423|Light and Air Unit|||FALSE|light_air|2021|Pierce|Freightliner M2 106|||||FALSE
414|Burke|M414|Medic|||FALSE|medic|2012|Horton|F-550|||||FALSE
416|Clifton|M416|Medic|||FALSE|medic|2017|Horton|F-550|||||FALSE
413|Dunn Loring|M413|Medic|||FALSE|medic|2013|Horton|F-550|||||FALSE
421|Fair Oaks|M421|Medic|||FALSE|medic|2016|Horton|F-550|||||FALSE
412|Great Falls|M412|Medic|||FALSE|medic|2017|Horton|F-550|||||FALSE
419|Lorton|M419|Medic|||FALSE|medic|2018|Horton|F-550|||||FALSE
401|McLean|M401|Medic|||FALSE|medic|2018|Road Rescue|F-550|||||FALSE
402|Vienna|M402|Medic|||FALSE|medic|2020|Demers|F-550|||||FALSE
408|Annandale|M408|Medic|||FALSE|medic|2011|Horton|Freightliner M2|||||FALSE
408|Annandale|M408B|Medic|||FALSE|medic|2011|Horton|Freightliner M2|||||FALSE
417|Centreville|M417|Medic|||FALSE|medic|2011|Horton|Freightliner M2|||||FALSE
437|Kingstowne|M437|Medic|||FALSE|medic|2014|Medic Master|Freightliner M2|||||FALSE
423|West Annandale|M423|Medic|||FALSE|medic|2011|Horton|Freightliner M2|||||FALSE
422|Springfield|M422|Medic|||FALSE|medic|2020|REV|Freightliner M2 106|||||FALSE
410|Baileys Crossroads|M410|Medic|||FALSE|medic|2014|Horton|Internation 4300|||||FALSE
422|Springfield|M422B|Medic|||TRUE|medic|2014|Horton|International DuraStar 4300|||||FALSE
415|Chantilly|M415|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
441|Crosspointe|M441|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
426|Edsall|M426|Medic|||FALSE|medic|2013|Horton|International DuraStar 4300|||||FALSE
440|Fairfax Center|M440|Medic|||FALSE|medic|2013|Horton|International DuraStar 4300|||||FALSE
432|Fairview|M432|Medic|||FALSE|medic|2017|Horton|International DuraStar 4300|||||FALSE
431|Fox Mill|M431|Medic|||FALSE|medic|2017|Horton|International DuraStar 4300|||||FALSE
436|Frying Pan|M436|Medic|||FALSE|medic|2017|Horton|International DuraStar 4300|||||FALSE
420|Gunston|M420|Medic|||FALSE|medic|2012|Horton|International DuraStar 4300|||||FALSE
404|Herndon|M404|Medic|||FALSE|medic|2016|Horton|International DuraStar 4300|||||FALSE
418|Jefferson|M418|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
430|Merrifield|M430|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
409|Mount Vernon|M409|Medic|||FALSE|medic|2016|Horton|International DuraStar 4300|||||FALSE
409|Mount Vernon|M409B|Medic|||FALSE|medic|2013|Horton|International DuraStar 4300|||||FALSE
439|North Point|M439|Medic|||FALSE|medic|2013|Horton|International DuraStar 4300|||||FALSE
434|Oakton|M434|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
411|Penn Daw|M411|Medic|||FALSE|medic|2015|Horton|International DuraStar 4300|||||FALSE
411|Penn Daw|M411|Medic|||FALSE|medic|2012|Horton|International DuraStar 4300|||||FALSE
435|Pohick|M435|Medic|||FALSE|medic|2017|Horton|International DuraStar 4300|||||FALSE
425|Reston|M425|Medic|||FALSE|medic|2017|Horton|International DuraStar 4300|||||FALSE
428|Seven Corners|M428|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
429|Tysons Corner|M429|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
438|West Centerville|M438|Medic|||FALSE|medic|2015|Horton|International DuraStar 4300|||||FALSE
427|West Springfield|M427|Medic|||FALSE|medic|2017|Horton|International DuraStar 4300|||||FALSE
442|Wolftrap|M442|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
424|Woodlawn|M424|Medic|||FALSE|medic|2018|Horton|International DuraStar 4300|||||FALSE
405|Franconia|M405|Medic|||FALSE|medic|2013|Horton|International TerraStar|||||FALSE
410|Baileys Crossroads|M410B|Medic|||FALSE|medic|2013|Braun|Super Chief|||||FALSE
415|Chantilly|MCU415|Medical Care Unit|||FALSE|mcu|2004|Mickey|GMC 6500|||||FALSE
435|Pohick|MCU435|Medical Care Unit|||FALSE|mcu|2007|Hackney|International 4400|||||FALSE
442|Wolftrap|MCU442|Medical Care Unit|||FALSE|mcu|2009|Hackney|International 4400|||||FALSE
430|Merrifield|MCP430|Mobile Command Post|||FALSE|command_post|2005|Pierce|Enforcer|||||FALSE
438|West Centerville|MCP438|Mobile Command Post|||FALSE|command_post|2005|Pierce|Enforcer|||||FALSE
413|Dunn Loring|RHAB413|Rehabilitation|||FALSE|rehab|2009|Pierce|Mack Granite Chassis|||||FALSE
411|Penn Daw|R411|Rescue||Hazmat|FALSE|rescue|2020|Pierce|Velocity Walk-In Rescue|||||FALSE
414|Burke|R414|Rescue||Technical|FALSE|rescue|2021|Pierce|Velocity Walk-In Rescue|||||FALSE
418|Jefferson|R418|Rescue||Technical|FALSE|rescue|2021|Pierce|Velocity Walk-In Rescue|||||FALSE
401|McLean|R401|Rescue||Hazmat|FALSE|rescue|2018|Pierce|Velocity Walk-In Rescue|||||FALSE
419|Lorton|R419|Rescue||Hazmat|FALSE|rescue|2015|Pierce|Velocity Walk-In Rescue|||||FALSE
439|North Point|R439|Rescue||Technical|FALSE|rescue|2015|Pierce|Velocity Walk-In Rescue|||||FALSE
426|Edsall|R426|Rescue||Hazmat|FALSE|rescue|2018|Pierce|Velocity Walk-In Rescue|||||FALSE
421|Fair Oaks|R421|Rescue||Technical|FALSE|rescue|2014|Pierce|Velocity Walk-In Rescue|||||FALSE
415|Chantilly|SAF402|Safety Officer|||FALSE|safety|2013|Ford|F-350|||||FALSE
413|Dunn Loring|SAF403|Safety Officer|||FALSE|safety|2016|Ford|F-350|||||FALSE
435|Pohick|SAF401|Safety Officer|||FALSE|safety|2017|Ford|F-350|||||FALSE
431|Fox Mill|SHU431|Special Hazards Unit|||FALSE|shu|2004|Mickey|GMC 6500|||||FALSE
437|Kingstowne|SHU437|Special Hazards Unit|||FALSE|shu|2004|Mickey|GMC 6500|||||FALSE
416|Clifton|TK416|Tanker|||FALSE|tanker|2017|Pierce|Dryside|||1250|3000|FALSE
441|Crosspointe|TK441|Tanker|||FALSE|tanker|2017|Pierce|Dryside|||1250|3000|FALSE
420|Gunston|TK420|Tanker|||FALSE|tanker|2017|Pierce|Dryside|||1250|3000|FALSE
442|Wolftrap|TK442|Tanker|||FALSE|tanker|2015|Pierce|Dryside|||1250|3000|FALSE
412|Great Falls|TK412|Tanker|||FALSE|tanker|2015|Pierce|Mack Granite|||1250|3000|FALSE
439|North Point|TK439|Tanker|||FALSE|tanker|2016|Pierce|Mack Granite|||1250|3000|FALSE
414|Burke|TRS414|Technical Rescue Support|||FALSE|trs|2012|Brown Quality Truck Bodies|Freightliner M2 112|||||FALSE
421|Fair Oaks|TRS421|Technical Rescue Support|||FALSE|trs|2012|Brown Quality Truck Bodies|Freightliner M2 112|||||FALSE
439|North Point|TRS439|Technical Rescue Support|||FALSE|trs|2012|Brown Quality Truck Bodies|Freightliner M2 112|||||FALSE
418|Jefferson|TRS418|Technical Rescue Support|||FALSE|trs|2013|Brown Quality Truck Bodies|Freightliner M2 112|||||FALSE
422|Springfield|T422|Truck|Straight||FALSE|truck|2005|Pierce|Dash Aerial|rear-mount ladder|105|||FALSE
438|West Centerville|T438|Truck|Straight||FALSE|truck|2013|Pierce|Velocity Aerial|rear-mount ladder|100|||FALSE
424|Woodlawn|T424|Truck|Tower||FALSE|truck|2013|Pierce|Velocity Aerial|rear-mount platform|100|||FALSE
429|Tysons Corner|T429|Truck|Tiller||FALSE|truck|2015|Pierce|Velocity Aerial|tractor-drawn aerial|100|||FALSE
430|Merrifield|T430|Truck|Tiller||FALSE|truck|2017|Pierce|Velocity Aerial|tractor-drawn aerial|100|||FALSE
425|Reston|T425|Truck|Tiller||FALSE|truck|2016|Pierce|Velocity Aerial|tractor-drawn aerial|100|||FALSE
411|Penn Daw|T411|Truck|Straight||FALSE|truck|2009|Pierce|Velocity Aerial|rear-mount ladder|105|||FALSE
405|Franconia|T405|Truck|Tower||FALSE|truck|2014|Pierce|Velocity Aerial|rear-mount platform|100|||FALSE
410|Baileys Crossroads|T410|Truck|Tiller||FALSE|truck|2015|Pierce|Velocity Aerial|tractor-drawn aerial|100|||FALSE
440|Fairfax Center|T440|Truck|Tower||FALSE|truck|2016|Pierce|Velocity Aerial|rear-mount platform|100|||FALSE
408|Annandale|T408|Truck|Tower||FALSE|truck|2014|Pierce|Velocity Aerial|rear-mount platform|100|||FALSE
441|Crosspointe|T441|Truck|Straight||FALSE|truck|2019|Pierce|Velocity Aerial|rear-mount ladder|105|||FALSE
401|McLean|T401|Truck|Tower||FALSE|truck|2017|Pierce|Velocity Aerial|rear-mount platform|100|||FALSE
436|Frying Pan|T436|Truck|Tower||FALSE|truck|2018|Pierce|Velocity Aerial|rear-mount platform|100|||FALSE
401|McLean|UT401|Utility|||FALSE|utility|2008|Ford|F-250|||||FALSE
413|Dunn Loring|UT413|Utility|||FALSE|utility|2017|Ford|F-250|||||FALSE
421|Fair Oaks|UT421|Utility|||FALSE|utility|2009|Ford|F-350|||||FALSE
422|Springfield|UT422|Utility|||FALSE|utility|1998|Ford|F-350|||||FALSE
402|Vienna|UT402|Utility|||FALSE|utility|2007|Ford|F-350|||||FALSE
417|Centreville|UT417|Utility|||FALSE|utility|2007|Chevrolet|Suburban|||||FALSE
405|Franconia|UT405|Utility|||FALSE|utility|1998|GMC|Suburban|||||FALSE
412|Great Falls|UT412|Utility|||FALSE|utility|2017|Jeep|Wrangler|||||FALSE
414|Burke|VC414|Volunteer Chief|||TRUE|vol_chief|2012|Ford|F-250|||||FALSE
422|Springfield|VC422|Volunteer Chief|||TRUE|vol_chief|2006|Ford|F-350|||||FALSE
417|Centreville|VC417|Volunteer Chief|||TRUE|vol_chief|2014|Chevrolet|Tahoe|||||FALSE
405|Franconia|VC405|Volunteer Chief|||TRUE|vol_chief|2008|GMC|Yukon|||||FALSE
