station|station_name|unit|type|truck_type|rescue type|is_reserved|image|year|make|model|ladder_type|ladder_length|max_pump_rate|wate_tank_capacity|foam_cell_capacity
415|Chantilly|BR415|Brush Unit|||0|brush|2003|Singer|F-350|||250|150|
414|Burke|A414|Ambulance|||1|ambulance|2006|Horton|F-450|||||
414|Burke|A414B|Ambulance|||1|ambulance|2005|Horton|F-450|||||
434|Oakton|ICS434|Incident Command Support|||0|ics|2018|Frontline|F-550|||||
413|Dunn Loring|A413|Ambulance|||1|ambulance|2013|Horton|F-550|||||
412|Great Falls|A412|Ambulance|||1|ambulance|2012|Braun|F-550|||||
401|McLean|A401|Ambulance|||1|ambulance|2015|Road Rescue|F-550|||||
438|West Centerville|A438|Ambulance|||1|ambulance|2012|Horton|F-550|||||
414|Burke|M414|Medic|||0|medic|2012|Horton|F-550|||||
416|Clifton|M416|Medic|||0|medic|2017|Horton|F-550|||||
413|Dunn Loring|M413|Medic|||0|medic|2013|Horton|F-550|||||
421|Fair Oaks|M421|Medic|||0|medic|2016|Horton|F-550|||||
412|Great Falls|M412|Medic|||0|medic|2017|Horton|F-550|||||
419|Lorton|M419|Medic|||0|medic|2018|Horton|F-550|||||
401|McLean|M401|Medic|||0|medic|2018|Road Rescue|F-550|||||
402|Vienna|M402|Medic|||0|medic|2020|Demers|F-550|||||
434|Oakton|LAB401|Fire Marshals Lab Unit|||0|lab|2001|Mattman|Freightliner|||||
436|Frying Pan|LA436|Light and Air Unit|||0|light_air|2016|Pierce|Freightliner|||||
408|Annandale|A408|Ambulance|||1|ambulance|2013|Horton|Freightliner M2|||||
417|Centreville|A417|Ambulance|||1|ambulance|2010|Horton|Freightliner M2|||||
421|Fair Oaks|A421B|Ambulance|||1|ambulance|2008|Horton|Freightliner M2|||||
405|Franconia|A405|Ambulance|||1|ambulance|2014|Medic Master|Freightliner M2|||||
437|Kingstowne|A437|Ambulance|||1|ambulance|2011|Horton|Freightliner M2|||||
408|Annandale|CAN408|Canteen|||0|canteen|2005|Utilimaster|Freightliner M2|||||
437|Kingstowne|LA437|Light and Air Unit|||0|light_air|2016|Pierce|Freightliner M2|||||
408|Annandale|M408|Medic|||0|medic|2011|Horton|Freightliner M2|||||
408|Annandale|M408B|Medic|||0|medic|2011|Horton|Freightliner M2|||||
417|Centreville|M417|Medic|||0|medic|2011|Horton|Freightliner M2|||||
437|Kingstowne|M437|Medic|||0|medic|2014|Medic Master|Freightliner M2|||||
423|West Annandale|M423|Medic|||0|medic|2011|Horton|Freightliner M2|||||
422|Springfield|A422|Ambulance|||1|ambulance|2020|REV|Freightliner M2 106|||||
423|West Annandale|LA423|Light and Air Unit|||0|light_air|2021|Pierce|Freightliner M2 106|||||
422|Springfield|M422|Medic|||0|medic|2020|REV|Freightliner M2 106|||||
414|Burke|TRS414|Technical Rescue Support|||0|trs|2012|Brown Quality Truck Bodies|Freightliner M2 112|||||
421|Fair Oaks|TRS421|Technical Rescue Support|||0|trs|2012|Brown Quality Truck Bodies|Freightliner M2 112|||||
439|North Point|TRS439|Technical Rescue Support|||0|trs|2012|Brown Quality Truck Bodies|Freightliner M2 112|||||
418|Jefferson|TRS418|Technical Rescue Support|||0|trs|2013|Brown Quality Truck Bodies|Freightliner M2 112|||||
422|Springfield|CAN422|Canteen|||0|canteen|1998|Grumman|GMC|||||
415|Chantilly|MCU415|Medical Care Unit|||0|mcu|2004|Mickey|GMC 6500|||||
431|Fox Mill|SHU431|Special Hazards Unit|||0|shu|2004|Mickey|GMC 6500|||||
437|Kingstowne|SHU437|Special Hazards Unit|||0|shu|2004|Mickey|GMC 6500|||||
419|Lorton|E419|Engine|||0|engine|2020|Pierce|Impel Pumper|||750|1500|30
410|Baileys Crossroads|M410|Medic|||0|medic|2014|Horton|Internation 4300|||||
435|Pohick|MCU435|Medical Care Unit|||0|mcu|2007|Hackney|International 4400|||||
442|Wolftrap|MCU442|Medical Care Unit|||0|mcu|2009|Hackney|International 4400|||||
402|Vienna|A402|Ambulance|||1|ambulance|2015|Horton|International DuraStar 4300|||||
422|Springfield|M422B|Medic|||1|medic|2014|Horton|International DuraStar 4300|||||
415|Chantilly|M415|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
441|Crosspointe|M441|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
426|Edsall|M426|Medic|||0|medic|2013|Horton|International DuraStar 4300|||||
440|Fairfax Center|M440|Medic|||0|medic|2013|Horton|International DuraStar 4300|||||
432|Fairview|M432|Medic|||0|medic|2017|Horton|International DuraStar 4300|||||
431|Fox Mill|M431|Medic|||0|medic|2017|Horton|International DuraStar 4300|||||
436|Frying Pan|M436|Medic|||0|medic|2017|Horton|International DuraStar 4300|||||
420|Gunston|M420|Medic|||0|medic|2012|Horton|International DuraStar 4300|||||
404|Herndon|M404|Medic|||0|medic|2016|Horton|International DuraStar 4300|||||
418|Jefferson|M418|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
430|Merrifield|M430|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
409|Mount Vernon|M409|Medic|||0|medic|2016|Horton|International DuraStar 4300|||||
409|Mount Vernon|M409B|Medic|||0|medic|2013|Horton|International DuraStar 4300|||||
439|North Point|M439|Medic|||0|medic|2013|Horton|International DuraStar 4300|||||
434|Oakton|M434|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
411|Penn Daw|M411|Medic|||0|medic|2015|Horton|International DuraStar 4300|||||
411|Penn Daw|M411|Medic|||0|medic|2012|Horton|International DuraStar 4300|||||
435|Pohick|M435|Medic|||0|medic|2017|Horton|International DuraStar 4300|||||
425|Reston|M425|Medic|||0|medic|2017|Horton|International DuraStar 4300|||||
428|Seven Corners|M428|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
429|Tysons Corner|M429|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
438|West Centerville|M438|Medic|||0|medic|2015|Horton|International DuraStar 4300|||||
427|West Springfield|M427|Medic|||0|medic|2017|Horton|International DuraStar 4300|||||
442|Wolftrap|M442|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
424|Woodlawn|M424|Medic|||0|medic|2018|Horton|International DuraStar 4300|||||
405|Franconia|M405|Medic|||0|medic|2013|Horton|International TerraStar|||||
412|Great Falls|TK412|Tanker|||0|tanker|2015|Pierce|Mack Granite|||1250|3000|
439|North Point|TK439|Tanker|||0|tanker|2016|Pierce|Mack Granite|||1250|3000|
413|Dunn Loring|RHAB413|Rehabilitation|||0|rehab|2009|Pierce|Mack Granite Chassis|||||
426|Edsall|F426|Foam Unit|||0|foam|2011|Pierce|Quantum PUC|||1500|2000|500
437|Kingstowne|F437|Foam Unit|||0|foam|2013|Pierce|Quantum PUC|||1500|2000|500
414|Burke|E414B|Engine|||1|engine|2001|Pierce|Quantum Pumper|||750|1500|
422|Springfield|E422B|Engine|||1|engine|2002|Pierce|Quantum Pumper|||750|1500|
414|Burke|BTI414|Inflatable Boat|||0|inf_boat|2005|Achilles|Red Hypalon|||||
416|Clifton|BTI416|Inflatable Boat|||0|inf_boat|2009|Achilles|Red Hypalon|||||
441|Crosspointe|BTI441|Inflatable Boat|||0|inf_boat|2009|Achilles|Red Hypalon|||||
421|Fair Oaks|BTI421|Inflatable Boat|||0|inf_boat|2003|Achilles|Red Hypalon|||||
412|Great Falls|BTI412|Inflatable Boat|||0|inf_boat|2011|Achilles|Red Hypalon|||||
412|Great Falls|BTI412B|Inflatable Boat|||0|inf_boat|2015|Achilles|Red Hypalon|||||
418|Jefferson|BTI418|Inflatable Boat|||0|inf_boat|2010|Achilles|Red Hypalon|||||
439|North Point|BTI439|Inflatable Boat|||0|inf_boat|2011|Achilles|Red Hypalon|||||
439|North Point|BTI439B|Inflatable Boat|||0|inf_boat|2012|Achilles|Red Hypalon|||||
427|West Springfield|AB427|Ambulance Bus|||0|ambulance_bus|2010|Thomas|Sartin|||||
417|Centreville|UT417|Utility|||0|utility|2007|Chevrolet|Suburban|||||
405|Franconia|UT405|Utility|||0|utility|1998|GMC|Suburban|||||
410|Baileys Crossroads|M410B|Medic|||0|medic|2013|Braun|Super Chief|||||
417|Centreville|VC417|Volunteer Chief|||1|vol_chief|2014|Chevrolet|Tahoe|||||
417|Centreville|CAN417|Canteen|||0|canteen|2019|Ford|Transit Connect|||||
440|Fairfax Center|HM440|Hazmat|||0|hazmat|2019|Pierce|Velocity 2-door 30' combination|||||
438|West Centerville|T438|Truck|Straight||0|truck|2013|Pierce|Velocity Aerial|rear-mount ladder|100|||
424|Woodlawn|T424|Truck|Tower||0|truck|2013|Pierce|Velocity Aerial|rear-mount platform|100|||
429|Tysons Corner|T429|Truck|Tiller||0|truck|2015|Pierce|Velocity Aerial|tractor-drawn aerial|100|||
430|Merrifield|T430|Truck|Tiller||0|truck|2017|Pierce|Velocity Aerial|tractor-drawn aerial|100|||
425|Reston|T425|Truck|Tiller||0|truck|2016|Pierce|Velocity Aerial|tractor-drawn aerial|100|||
411|Penn Daw|T411|Truck|Straight||0|truck|2009|Pierce|Velocity Aerial|rear-mount ladder|105|||
405|Franconia|T405|Truck|Tower||0|truck|2014|Pierce|Velocity Aerial|rear-mount platform|100|||
410|Baileys Crossroads|T410|Truck|Tiller||0|truck|2015|Pierce|Velocity Aerial|tractor-drawn aerial|100|||
440|Fairfax Center|T440|Truck|Tower||0|truck|2016|Pierce|Velocity Aerial|rear-mount platform|100|||
408|Annandale|T408|Truck|Tower||0|truck|2014|Pierce|Velocity Aerial|rear-mount platform|100|||
441|Crosspointe|T441|Truck|Straight||0|truck|2019|Pierce|Velocity Aerial|rear-mount ladder|105|||
401|McLean|T401|Truck|Tower||0|truck|2017|Pierce|Velocity Aerial|rear-mount platform|100|||
436|Frying Pan|T436|Truck|Tower||0|truck|2018|Pierce|Velocity Aerial|rear-mount platform|100|||
402|Vienna|E402|Engine|||0|engine|2012|Pierce|Velocity Pumper|||750|1500|
428|Seven Corners|E428|Engine|||0|engine|2015|Pierce|Velocity Pumper|||750|1500|30
442|Wolftrap|E442|Engine|||0|engine|2015|Pierce|Velocity Pumper|||750|1500|30
424|Woodlawn|E424|Engine|||0|engine|2015|Pierce|Velocity Pumper|||750|1500|30
415|Chantilly|E415|Engine|||0|engine|2017|Pierce|Velocity Pumper|||750|1500|40
401|McLean|E401|Engine|||0|engine|2013|Pierce|Velocity Pumper|||750|1500|40
410|Baileys Crossroads|E410|Engine|||0|engine|2017|Pierce|Velocity Pumper|||750|1500|40
414|Burke|E414|Engine|||0|engine|2016|Pierce|Velocity Pumper|||750|1500|40
426|Edsall|E426|Engine|||0|engine|2017|Pierce|Velocity Pumper|||750|1500|40
421|Fair Oaks|E421|Engine|||0|engine|2012|Pierce|Velocity Pumper|||750|1500|40
421|Fair Oaks|E421B|Engine|||1|engine|2011|Pierce|Velocity Pumper|||750|1500|40
